STATE,ST_CASE,PER_NO,PBPTYPE,PBAGE,PBSEX,PBCWALK,PBSWALK,PBSZONE,BIKECTYPE,BIKELOC,BIKEPOS,BIKEDIR,BIKECGP,YEAR,STATENAME,PBPTYPENAME,PBAGENAME,PBSEXNAME,PBCWALKNAME,PBSWALKNAME,PBSZONENAME,BIKECTYPENAME,BIKELOCNAME,BIKEPOSNAME,BIKEDIRNAME,BIKECGPNAME
4,40117,1,6,28,1,1,1,0,155,1,1,1,158,2016,Arizona,Bicyclist,28 Years,Male,Yes,Yes,None Noted,Bicyclist Ride Through - Signalized Intersection,At Intersection,Travel Lane,With Traffic,Bicyclist Failed to Yield - Signalized Intersection
4,40199,1,6,72,2,1,1,0,232,2,2,1,230,2016,Arizona,Bicyclist,72 Years,Female,Yes,Yes,None Noted,Motorist Overtaking - Misjudged Space,Intersection-Related,Bicycle Lane / Paved Shoulder / Parking Lane,With Traffic,Motorist Overtaking Bicyclist
4,40199,2,6,68,1,1,1,0,232,2,2,1,230,2016,Arizona,Bicyclist,68 Years,Male,Yes,Yes,None Noted,Motorist Overtaking - Misjudged Space,Intersection-Related,Bicycle Lane / Paved Shoulder / Parking Lane,With Traffic,Motorist Overtaking Bicyclist
4,40199,3,6,70,1,1,1,0,232,2,2,1,230,2016,Arizona,Bicyclist,70 Years,Male,Yes,Yes,None Noted,Motorist Overtaking - Misjudged Space,Intersection-Related,Bicycle Lane / Paved Shoulder / Parking Lane,With Traffic,Motorist Overtaking Bicyclist
4,40199,4,6,69,2,1,1,0,232,2,2,1,230,2016,Arizona,Bicyclist,69 Years,Female,Yes,Yes,None Noted,Motorist Overtaking - Misjudged Space,Intersection-Related,Bicycle Lane / Paved Shoulder / Parking Lane,With Traffic,Motorist Overtaking Bicyclist
4,40199,5,6,75,2,1,1,0,232,2,2,1,230,2016,Arizona,Bicyclist,75 Years,Female,Yes,Yes,None Noted,Motorist Overtaking - Misjudged Space,Intersection-Related,Bicycle Lane / Paved Shoulder / Parking Lane,With Traffic,Motorist Overtaking Bicyclist
4,40209,1,6,85,1,0,1,0,970,2,1,9,990,2016,Arizona,Bicyclist,85 Years,Male,None Noted,Yes,None Noted,Unknown Approach Paths,Intersection-Related,Travel Lane,Unknown,Other / Unknown - Insufficient Details
4,40247,1,6,78,1,0,1,0,232,3,2,1,230,2016,Arizona,Bicyclist,78 Years,Male,None Noted,Yes,None Noted,Motorist Overtaking - Misjudged Space,Not At Intersection,Bicycle Lane / Paved Shoulder / Parking Lane,With Traffic,Motorist Overtaking Bicyclist
4,40248,1,6,65,1,9,9,9,980,9,9,9,990,2016,Arizona,Bicyclist,65 Years,Male,Unknown,Unknown,Unknown,Unknown Location,Unknown / Insufficient Information,Unknown,Unknown,Other / Unknown - Insufficient Details
4,40257,1,6,20,2,0,1,0,232,1,1,1,230,2016,Arizona,Bicyclist,20 Years,Female,None Noted,Yes,None Noted,Motorist Overtaking - Misjudged Space,At Intersection,Travel Lane,With Traffic,Motorist Overtaking Bicyclist
4,40267,1,6,51,1,0,1,0,232,3,1,1,230,2016,Arizona,Bicyclist,51 Years,Male,None Noted,Yes,None Noted,Motorist Overtaking - Misjudged Space,Not At Intersection,Travel Lane,With Traffic,Motorist Overtaking Bicyclist
4,40276,1,6,35,1,0,1,0,250,3,1,2,258,2016,Arizona,Bicyclist,35 Years,Male,None Noted,Yes,None Noted,Wrong-Way / Wrong-Side - Bicyclist,Not At Intersection,Travel Lane,Facing Traffic,Wrong-Way / Wrong-Side
4,40319,1,6,61,1,0,1,0,221,3,1,1,220,2016,Arizona,Bicyclist,61 Years,Male,None Noted,Yes,None Noted,Bicyclist Left Turn - Same Direction,Not At Intersection,Travel Lane,With Traffic,Bicyclist Left Turn / Merge
4,40343,1,6,54,1,0,1,0,232,3,1,1,230,2016,Arizona,Bicyclist,54 Years,Male,None Noted,Yes,None Noted,Motorist Overtaking - Misjudged Space,Not At Intersection,Travel Lane,With Traffic,Motorist Overtaking Bicyclist
4,40356,1,6,73,1,0,1,0,232,3,2,1,230,2016,Arizona,Bicyclist,73 Years,Male,None Noted,Yes,None Noted,Motorist Overtaking - Misjudged Space,Not At Intersection,Bicycle Lane / Paved Shoulder / Parking Lane,With Traffic,Motorist Overtaking Bicyclist
4,40360,1,6,34,1,1,1,0,213,1,1,1,215,2016,Arizona,Bicyclist,34 Years,Male,Yes,Yes,None Noted,Motorist Right Turn - Same Direction,At Intersection,Travel Lane,With Traffic,Motorist Right Turn / Merge
4,40409,1,6,26,1,0,0,0,970,3,1,9,990,2016,Arizona,Bicyclist,26 Years,Male,None Noted,None Noted,None Noted,Unknown Approach Paths,Not At Intersection,Travel Lane,Unknown,Other / Unknown - Insufficient Details
4,40437,1,6,65,1,1,1,0,154,1,2,2,150,2016,Arizona,Bicyclist,65 Years,Male,Yes,Yes,None Noted,Motorist Drive Through - Signalized Intersection,At Intersection,Bicycle Lane / Paved Shoulder / Parking Lane,Facing Traffic,Motorist Failed to Yield - Signalized Intersection
4,40501,1,6,58,1,1,0,0,232,2,2,1,230,2016,Arizona,Bicyclist,58 Years,Male,Yes,None Noted,None Noted,Motorist Overtaking - Misjudged Space,Intersection-Related,Bicycle Lane / Paved Shoulder / Parking Lane,With Traffic,Motorist Overtaking Bicyclist
4,40614,1,6,35,1,0,1,0,223,3,1,1,225,2016,Arizona,Bicyclist,35 Years,Male,None Noted,Yes,None Noted,Bicyclist Right Turn - Same Direction,Not At Intersection,Travel Lane,With Traffic,Bicyclist Right Turn / Merge
4,40645,1,6,21,1,1,1,0,155,1,1,2,158,2016,Arizona,Bicyclist,21 Years,Male,Yes,Yes,None Noted,Bicyclist Ride Through - Signalized Intersection,At Intersection,Travel Lane,Facing Traffic,Bicyclist Failed to Yield - Signalized Intersection
4,40646,1,6,66,1,1,1,0,144,1,3,2,145,2016,Arizona,Bicyclist,66 Years,Male,Yes,Yes,None Noted,Bicyclist Ride Through - Sign-Controlled Intersection,At Intersection,Sidewalk  / Crosswalk / Driveway Access,Facing Traffic,Bicyclist Failed to Yield - Sign-Controlled Intersection
4,40700,1,6,72,1,0,0,0,232,3,2,1,230,2016,Arizona,Bicyclist,72 Years,Male,None Noted,None Noted,None Noted,Motorist Overtaking - Misjudged Space,Not At Intersection,Bicycle Lane / Paved Shoulder / Parking Lane,With Traffic,Motorist Overtaking Bicyclist
4,40700,2,6,65,2,0,0,0,232,3,2,1,230,2016,Arizona,Bicyclist,65 Years,Female,None Noted,None Noted,None Noted,Motorist Overtaking - Misjudged Space,Not At Intersection,Bicycle Lane / Paved Shoulder / Parking Lane,With Traffic,Motorist Overtaking Bicyclist
4,40779,1,6,44,1,0,0,0,231,3,1,1,230,2016,Arizona,Bicyclist,44 Years,Male,None Noted,None Noted,None Noted,Motorist Overtaking - Undetected Bicyclist,Not At Intersection,Travel Lane,With Traffic,Motorist Overtaking Bicyclist
4,40782,1,6,16,2,0,0,0,239,3,1,1,230,2016,Arizona,Bicyclist,16 Years,Female,None Noted,None Noted,None Noted,Motorist Overtaking - Other/ Unknown,Not At Intersection,Travel Lane,With Traffic,Motorist Overtaking Bicyclist
4,40782,2,6,999,2,0,0,0,239,3,9,1,230,2016,Arizona,Bicyclist,Unknown,Female,None Noted,None Noted,None Noted,Motorist Overtaking - Other/ Unknown,Not At Intersection,Unknown,With Traffic,Motorist Overtaking Bicyclist
4,40792,3,6,3,1,1,1,0,154,1,3,1,150,2016,Arizona,Bicyclist,3 Years,Male,Yes,Yes,None Noted,Motorist Drive Through - Signalized Intersection,At Intersection,Sidewalk  / Crosswalk / Driveway Access,With Traffic,Motorist Failed to Yield - Signalized Intersection
4,40796,1,6,49,1,0,1,0,232,3,3,1,230,2016,Arizona,Bicyclist,49 Years,Male,None Noted,Yes,None Noted,Motorist Overtaking - Misjudged Space,Not At Intersection,Sidewalk  / Crosswalk / Driveway Access,With Traffic,Motorist Overtaking Bicyclist
4,40821,1,6,43,1,0,0,0,129,3,1,1,110,2016,Arizona,Bicyclist,43 Years,Male,None Noted,None Noted,None Noted,Bicyclist Lost Control - Other / Unknown,Not At Intersection,Travel Lane,With Traffic,Loss of Control / Turning Error
5,50210,1,6,42,1,0,0,0,231,3,1,1,230,2016,Arkansas,Bicyclist,42 Years,Male,None Noted,None Noted,None Noted,Motorist Overtaking - Undetected Bicyclist,Not At Intersection,Travel Lane,With Traffic,Motorist Overtaking Bicyclist
5,50441,1,6,79,1,0,0,0,280,1,1,1,290,2016,Arkansas,Bicyclist,79 Years,Male,None Noted,None Noted,None Noted,Parallel Paths - Other / Unknown,At Intersection,Travel Lane,With Traffic,Parallel Paths - Other Circumstances
5,50499,1,6,46,1,0,0,0,970,3,9,9,990,2016,Arkansas,Bicyclist,46 Years,Male,None Noted,None Noted,None Noted,Unknown Approach Paths,Not At Intersection,Unknown,Unknown,Other / Unknown - Insufficient Details
6,60018,1,6,80,1,0,1,0,312,3,3,2,310,2016,California,Bicyclist,80 Years,Male,None Noted,Yes,None Noted,Bicyclist Ride-Out - Commercial Driveway,Not At Intersection,Sidewalk  / Crosswalk / Driveway Access,Facing Traffic,Bicyclist Failed to Yield - Midblock
6,60039,1,6,47,1,0,0,0,180,1,1,3,190,2016,California,Bicyclist,47 Years,Male,None Noted,None Noted,None Noted,Crossing Paths - Intersection - Other / Unknown Control,At Intersection,Travel Lane,Not applicable,Crossing Paths - Other Circumstances
6,60055,1,6,44,1,0,1,0,250,3,9,2,258,2016,California,Bicyclist,44 Years,Male,None Noted,Yes,None Noted,Wrong-Way / Wrong-Side - Bicyclist,Not At Intersection,Unknown,Facing Traffic,Wrong-Way / Wrong-Side
6,60106,1,6,47,1,0,0,0,970,1,1,2,990,2016,California,Bicyclist,47 Years,Male,None Noted,None Noted,None Noted,Unknown Approach Paths,At Intersection,Travel Lane,Facing Traffic,Other / Unknown - Insufficient Details
6,60246,1,6,51,1,0,0,0,212,1,1,1,210,2016,California,Bicyclist,51 Years,Male,None Noted,None Noted,None Noted,Motorist Left Turn- Opposite Direction,At Intersection,Travel Lane,With Traffic,Motorist Left Turn / Merge
6,60274,1,6,44,1,0,1,0,280,3,1,1,290,2016,California,Bicyclist,44 Years,Male,None Noted,Yes,None Noted,Parallel Paths - Other / Unknown,Not At Intersection,Travel Lane,With Traffic,Parallel Paths - Other Circumstances
6,60327,1,6,69,1,1,1,0,211,1,3,1,210,2016,California,Bicyclist,69 Years,Male,Yes,Yes,None Noted,Motorist Left Turn- Same Direction,At Intersection,Sidewalk  / Crosswalk / Driveway Access,With Traffic,Motorist Left Turn / Merge
6,60338,1,6,53,1,1,1,0,221,1,3,1,220,2016,California,Bicyclist,53 Years,Male,Yes,Yes,None Noted,Bicyclist Left Turn - Same Direction,At Intersection,Sidewalk  / Crosswalk / Driveway Access,With Traffic,Bicyclist Left Turn / Merge
6,60340,1,6,67,1,0,0,0,239,3,2,1,230,2016,California,Bicyclist,67 Years,Male,None Noted,None Noted,None Noted,Motorist Overtaking - Other/ Unknown,Not At Intersection,Bicycle Lane / Paved Shoulder / Parking Lane,With Traffic,Motorist Overtaking Bicyclist
6,60359,1,6,35,2,1,1,0,155,1,3,1,158,2016,California,Bicyclist,35 Years,Female,Yes,Yes,None Noted,Bicyclist Ride Through - Signalized Intersection,At Intersection,Sidewalk  / Crosswalk / Driveway Access,With Traffic,Bicyclist Failed to Yield - Signalized Intersection
6,60379,1,6,42,1,1,1,0,153,1,1,2,158,2016,California,Bicyclist,42 Years,Male,Yes,Yes,None Noted,Bicyclist Ride Out - Signalized Intersection,At Intersection,Travel Lane,Facing Traffic,Bicyclist Failed to Yield - Signalized Intersection
6,60405,1,6,45,1,0,1,0,323,3,3,2,320,2016,California,Bicyclist,45 Years,Male,None Noted,Yes,None Noted,"Motorist Drive-Out - Driveway, Unknown Type",Not At Intersection,Sidewalk  / Crosswalk / Driveway Access,Facing Traffic,Motorist Failed to Yield - Midblock
6,60479,1,6,26,1,0,0,0,180,1,1,1,190,2016,California,Bicyclist,26 Years,Male,None Noted,None Noted,None Noted,Crossing Paths - Intersection - Other / Unknown Control,At Intersection,Travel Lane,With Traffic,Crossing Paths - Other Circumstances
6,60527,1,6,33,1,0,1,0,212,1,1,1,210,2016,California,Bicyclist,33 Years,Male,None Noted,Yes,None Noted,Motorist Left Turn- Opposite Direction,At Intersection,Travel Lane,With Traffic,Motorist Left Turn / Merge
6,60555,1,6,69,1,1,1,0,214,2,1,1,215,2016,California,Bicyclist,69 Years,Male,Yes,Yes,None Noted,Motorist right Turn - Opposite Direction,Intersection-Related,Travel Lane,With Traffic,Motorist Right Turn / Merge
6,60561,1,6,59,2,0,0,0,221,3,2,1,220,2016,California,Bicyclist,59 Years,Female,None Noted,None Noted,None Noted,Bicyclist Left Turn - Same Direction,Not At Intersection,Bicycle Lane / Paved Shoulder / Parking Lane,With Traffic,Bicyclist Left Turn / Merge
6,60566,1,6,44,1,1,1,0,155,1,1,1,158,2016,California,Bicyclist,44 Years,Male,Yes,Yes,None Noted,Bicyclist Ride Through - Signalized Intersection,At Intersection,Travel Lane,With Traffic,Bicyclist Failed to Yield - Signalized Intersection
6,60586,1,6,29,1,1,1,0,213,1,1,1,215,2016,California,Bicyclist,29 Years,Male,Yes,Yes,None Noted,Motorist Right Turn - Same Direction,At Intersection,Travel Lane,With Traffic,Motorist Right Turn / Merge
6,60598,1,6,63,1,0,1,0,970,3,1,9,990,2016,California,Bicyclist,63 Years,Male,None Noted,Yes,None Noted,Unknown Approach Paths,Not At Intersection,Travel Lane,Unknown,Other / Unknown - Insufficient Details
6,60600,1,6,22,1,0,1,0,148,1,1,1,190,2016,California,Bicyclist,22 Years,Male,None Noted,Yes,None Noted,Sign-Controlled Intersection - Other / Unknown,At Intersection,Travel Lane,With Traffic,Crossing Paths - Other Circumstances
6,60641,1,6,61,1,0,1,0,970,3,1,2,990,2016,California,Bicyclist,61 Years,Male,None Noted,Yes,None Noted,Unknown Approach Paths,Not At Intersection,Travel Lane,Facing Traffic,Other / Unknown - Insufficient Details
6,60660,1,6,49,1,0,1,0,239,3,1,1,230,2016,California,Bicyclist,49 Years,Male,None Noted,Yes,None Noted,Motorist Overtaking - Other/ Unknown,Not At Intersection,Travel Lane,With Traffic,Motorist Overtaking Bicyclist
6,60697,1,6,56,1,0,1,0,221,1,1,1,220,2016,California,Bicyclist,56 Years,Male,None Noted,Yes,None Noted,Bicyclist Left Turn - Same Direction,At Intersection,Travel Lane,With Traffic,Bicyclist Left Turn / Merge
6,60703,1,6,60,2,0,0,0,241,3,1,1,240,2016,California,Bicyclist,60 Years,Female,None Noted,None Noted,None Noted,Bicyclist Overtaking - Passing on Right,Not At Intersection,Travel Lane,With Traffic,Bicyclist Overtaking Motorist
6,60705,1,6,14,1,0,0,0,239,3,1,1,230,2016,California,Bicyclist,14 Years,Male,None Noted,None Noted,None Noted,Motorist Overtaking - Other/ Unknown,Not At Intersection,Travel Lane,With Traffic,Motorist Overtaking Bicyclist
6,60717,1,6,49,1,1,1,0,144,1,3,1,145,2016,California,Bicyclist,49 Years,Male,Yes,Yes,None Noted,Bicyclist Ride Through - Sign-Controlled Intersection,At Intersection,Sidewalk  / Crosswalk / Driveway Access,With Traffic,Bicyclist Failed to Yield - Sign-Controlled Intersection
6,60761,1,6,36,1,0,0,0,232,3,1,1,230,2016,California,Bicyclist,36 Years,Male,None Noted,None Noted,None Noted,Motorist Overtaking - Misjudged Space,Not At Intersection,Travel Lane,With Traffic,Motorist Overtaking Bicyclist
6,60767,1,6,40,1,0,0,0,231,3,1,1,230,2016,California,Bicyclist,40 Years,Male,None Noted,None Noted,None Noted,Motorist Overtaking - Undetected Bicyclist,Not At Intersection,Travel Lane,With Traffic,Motorist Overtaking Bicyclist
6,60768,1,6,39,1,0,0,0,318,3,1,3,310,2016,California,Bicyclist,39 Years,Male,None Noted,None Noted,None Noted,Bicyclist Ride Out - Other Midblock,Not At Intersection,Travel Lane,Not applicable,Bicyclist Failed to Yield - Midblock
6,60771,1,6,53,1,0,0,0,232,3,1,1,230,2016,California,Bicyclist,53 Years,Male,None Noted,None Noted,None Noted,Motorist Overtaking - Misjudged Space,Not At Intersection,Travel Lane,With Traffic,Motorist Overtaking Bicyclist
6,60905,1,6,77,1,0,1,0,144,1,1,1,145,2016,California,Bicyclist,77 Years,Male,None Noted,Yes,None Noted,Bicyclist Ride Through - Sign-Controlled Intersection,At Intersection,Travel Lane,With Traffic,Bicyclist Failed to Yield - Sign-Controlled Intersection
6,60919,1,6,22,1,1,1,0,155,1,1,1,158,2016,California,Bicyclist,22 Years,Male,Yes,Yes,None Noted,Bicyclist Ride Through - Signalized Intersection,At Intersection,Travel Lane,With Traffic,Bicyclist Failed to Yield - Signalized Intersection
6,60920,1,6,44,1,0,0,0,160,1,1,3,190,2016,California,Bicyclist,44 Years,Male,None Noted,None Noted,None Noted,Crossing Paths - Uncontrolled Intersection,At Intersection,Travel Lane,Not applicable,Crossing Paths - Other Circumstances
6,60922,1,6,33,1,0,1,0,142,1,1,1,145,2016,California,Bicyclist,33 Years,Male,None Noted,Yes,None Noted,Bicyclist Ride Out - Sign-Controlled Intersection,At Intersection,Travel Lane,With Traffic,Bicyclist Failed to Yield - Sign-Controlled Intersection
6,61016,1,6,25,1,9,0,0,115,2,1,1,110,2016,California,Bicyclist,25 Years,Male,Unknown,None Noted,None Noted,Bicyclist Turning Error - Right turn,Intersection-Related,Travel Lane,With Traffic,Loss of Control / Turning Error
6,61021,1,6,92,1,0,0,0,241,3,1,1,240,2016,California,Bicyclist,92 Years,Male,None Noted,None Noted,None Noted,Bicyclist Overtaking - Passing on Right,Not At Intersection,Travel Lane,With Traffic,Bicyclist Overtaking Motorist
6,61022,1,6,45,2,0,1,0,223,3,1,2,225,2016,California,Bicyclist,45 Years,Female,None Noted,Yes,None Noted,Bicyclist Right Turn - Same Direction,Not At Intersection,Travel Lane,Facing Traffic,Bicyclist Right Turn / Merge
6,61041,1,6,67,2,0,0,0,221,3,1,1,220,2016,California,Bicyclist,67 Years,Female,None Noted,None Noted,None Noted,Bicyclist Left Turn - Same Direction,Not At Intersection,Travel Lane,With Traffic,Bicyclist Left Turn / Merge
6,61109,1,6,55,1,0,0,0,239,2,2,1,230,2016,California,Bicyclist,55 Years,Male,None Noted,None Noted,None Noted,Motorist Overtaking - Other/ Unknown,Intersection-Related,Bicycle Lane / Paved Shoulder / Parking Lane,With Traffic,Motorist Overtaking Bicyclist
6,61111,1,6,18,1,0,0,0,231,3,1,1,230,2016,California,Bicyclist,18 Years,Male,None Noted,None Noted,None Noted,Motorist Overtaking - Undetected Bicyclist,Not At Intersection,Travel Lane,With Traffic,Motorist Overtaking Bicyclist
6,61219,1,6,58,2,0,0,0,232,3,2,1,230,2016,California,Bicyclist,58 Years,Female,None Noted,None Noted,None Noted,Motorist Overtaking - Misjudged Space,Not At Intersection,Bicycle Lane / Paved Shoulder / Parking Lane,With Traffic,Motorist Overtaking Bicyclist
6,61266,1,6,50,1,0,1,0,225,3,1,1,290,2016,California,Bicyclist,50 Years,Male,None Noted,Yes,None Noted,Bicyclist Ride Out - Parallel Path,Not At Intersection,Travel Lane,With Traffic,Parallel Paths - Other Circumstances
6,61304,1,6,51,1,1,1,0,241,2,2,2,240,2016,California,Bicyclist,51 Years,Male,Yes,Yes,None Noted,Bicyclist Overtaking - Passing on Right,Intersection-Related,Bicycle Lane / Paved Shoulder / Parking Lane,Facing Traffic,Bicyclist Overtaking Motorist
6,61307,1,6,72,2,1,1,0,155,1,3,1,158,2016,California,Bicyclist,72 Years,Female,Yes,Yes,None Noted,Bicyclist Ride Through - Signalized Intersection,At Intersection,Sidewalk  / Crosswalk / Driveway Access,With Traffic,Bicyclist Failed to Yield - Signalized Intersection
6,61320,1,6,43,1,0,0,0,280,3,1,1,290,2016,California,Bicyclist,43 Years,Male,None Noted,None Noted,None Noted,Parallel Paths - Other / Unknown,Not At Intersection,Travel Lane,With Traffic,Parallel Paths - Other Circumstances
6,61321,1,6,53,1,1,0,0,970,2,1,1,990,2016,California,Bicyclist,53 Years,Male,Yes,None Noted,None Noted,Unknown Approach Paths,Intersection-Related,Travel Lane,With Traffic,Other / Unknown - Insufficient Details
6,61326,1,6,60,1,0,0,0,212,3,3,1,210,2016,California,Bicyclist,60 Years,Male,None Noted,None Noted,None Noted,Motorist Left Turn- Opposite Direction,Not At Intersection,Sidewalk  / Crosswalk / Driveway Access,With Traffic,Motorist Left Turn / Merge
6,61335,1,6,60,1,0,0,0,231,3,1,1,230,2016,California,Bicyclist,60 Years,Male,None Noted,None Noted,None Noted,Motorist Overtaking - Undetected Bicyclist,Not At Intersection,Travel Lane,With Traffic,Motorist Overtaking Bicyclist
6,61349,1,6,65,1,0,0,0,232,3,2,1,230,2016,California,Bicyclist,65 Years,Male,None Noted,None Noted,None Noted,Motorist Overtaking - Misjudged Space,Not At Intersection,Bicycle Lane / Paved Shoulder / Parking Lane,With Traffic,Motorist Overtaking Bicyclist
6,61352,1,6,63,1,1,0,0,155,1,3,1,158,2016,California,Bicyclist,63 Years,Male,Yes,None Noted,None Noted,Bicyclist Ride Through - Signalized Intersection,At Intersection,Sidewalk  / Crosswalk / Driveway Access,With Traffic,Bicyclist Failed to Yield - Signalized Intersection
6,61355,1,6,40,2,0,1,0,232,3,1,1,230,2016,California,Bicyclist,40 Years,Female,None Noted,Yes,None Noted,Motorist Overtaking - Misjudged Space,Not At Intersection,Travel Lane,With Traffic,Motorist Overtaking Bicyclist
6,61398,1,6,44,1,1,1,0,970,2,9,9,990,2016,California,Bicyclist,44 Years,Male,Yes,Yes,None Noted,Unknown Approach Paths,Intersection-Related,Unknown,Unknown,Other / Unknown - Insufficient Details
6,61404,1,6,27,1,1,1,0,155,1,3,1,158,2016,California,Bicyclist,27 Years,Male,Yes,Yes,None Noted,Bicyclist Ride Through - Signalized Intersection,At Intersection,Sidewalk  / Crosswalk / Driveway Access,With Traffic,Bicyclist Failed to Yield - Signalized Intersection
6,61406,1,6,33,1,0,0,0,239,3,2,1,230,2016,California,Bicyclist,33 Years,Male,None Noted,None Noted,None Noted,Motorist Overtaking - Other/ Unknown,Not At Intersection,Bicycle Lane / Paved Shoulder / Parking Lane,With Traffic,Motorist Overtaking Bicyclist
6,61455,1,6,58,1,0,0,0,239,3,2,1,230,2016,California,Bicyclist,58 Years,Male,None Noted,None Noted,None Noted,Motorist Overtaking - Other/ Unknown,Not At Intersection,Bicycle Lane / Paved Shoulder / Parking Lane,With Traffic,Motorist Overtaking Bicyclist
6,61541,1,6,47,1,1,1,0,144,1,1,1,145,2016,California,Bicyclist,47 Years,Male,Yes,Yes,None Noted,Bicyclist Ride Through - Sign-Controlled Intersection,At Intersection,Travel Lane,With Traffic,Bicyclist Failed to Yield - Sign-Controlled Intersection
6,61542,1,6,66,1,0,1,0,231,3,1,1,230,2016,California,Bicyclist,66 Years,Male,None Noted,Yes,None Noted,Motorist Overtaking - Undetected Bicyclist,Not At Intersection,Travel Lane,With Traffic,Motorist Overtaking Bicyclist
6,61575,1,6,70,1,1,0,0,180,1,1,1,190,2016,California,Bicyclist,70 Years,Male,Yes,None Noted,None Noted,Crossing Paths - Intersection - Other / Unknown Control,At Intersection,Travel Lane,With Traffic,Crossing Paths - Other Circumstances
6,61593,1,6,36,1,1,1,0,144,1,1,1,145,2016,California,Bicyclist,36 Years,Male,Yes,Yes,None Noted,Bicyclist Ride Through - Sign-Controlled Intersection,At Intersection,Travel Lane,With Traffic,Bicyclist Failed to Yield - Sign-Controlled Intersection
6,61658,1,6,52,1,0,1,0,250,3,1,2,258,2016,California,Bicyclist,52 Years,Male,None Noted,Yes,None Noted,Wrong-Way / Wrong-Side - Bicyclist,Not At Intersection,Travel Lane,Facing Traffic,Wrong-Way / Wrong-Side
6,61667,1,6,76,1,1,0,0,155,1,1,1,158,2016,California,Bicyclist,76 Years,Male,Yes,None Noted,None Noted,Bicyclist Ride Through - Signalized Intersection,At Intersection,Travel Lane,With Traffic,Bicyclist Failed to Yield - Signalized Intersection
6,61668,1,6,54,1,1,1,0,250,2,1,2,258,2016,California,Bicyclist,54 Years,Male,Yes,Yes,None Noted,Wrong-Way / Wrong-Side - Bicyclist,Intersection-Related,Travel Lane,Facing Traffic,Wrong-Way / Wrong-Side
6,61683,1,6,16,1,0,0,0,221,3,1,1,220,2016,California,Bicyclist,16 Years,Male,None Noted,None Noted,None Noted,Bicyclist Left Turn - Same Direction,Not At Intersection,Travel Lane,With Traffic,Bicyclist Left Turn / Merge
